site_no,station_name,latitude,longitude,huc,site_type
385631077062901,WW Ba 18,38.94191667,-77.1080556,2070010.0,GW
385631077065801,MO Ff 36,38.94194444,-77.1161111,2070010.0,GW
385632077062501,WW Ba 19,38.94225,-77.1069167,2070010.0,GW-CR
385633077063201,WW Ba 27,38.94271944,-77.10901389,2070010.0,GW-CR
385633077063301,WW Ba 26,38.9426111,-77.1090556,2070010.0,GW-CR
385634076573001,PG Cc  30,38.94288885,-76.9580305,2070010.0,GW
385634077062001,WW Ba 17,38.9428611,-77.10552778,2070010.0,GW
385634077062701,WW Ba 16,38.94269444,-77.1074722,2070010.0,GW
385634077063101,WW Ba 15,38.94275,-77.1086667,2070010.0,GW
385634077063201,Res-1,38.94277778,-77.10888889,2070008.0,ST
385634077063202,WW Ba 25,38.94271944,-77.10901389,2070010.0,GW-CR
385635077063101,WW Ba 11,38.943,-77.1087222,2070010.0,GW-CR
385635077063102,WW Ba 12,38.94296667,-77.10872778,2070010.0,GW-CR
385635077063103,WW Ba 13,38.94305,-77.1087417,2070010.0,GW-CR
385637077062201,WW Ba 14,38.94352778,-77.1061111,2070010.0,GW
385637077062801,MO Ff 33,38.9447222,-77.1077222,2070010.0,GW
385637077063001,MO Ff 34,38.94375,-77.1084167,2070010.0,GW
385640077065601,MO Ff 35,38.94444444,-77.1155556,2070010.0,GW
385641077064301,MO Ff 38,38.94480556,-77.11213889,2070010.0,GW
385643077062601,MO Ff 32,38.94527778,-77.1071111,2070010.0,GW-CR
385643077063101,MO Ff 39,38.9453611,-77.1087222,2070010.0,GW
385644077061101,WW Ba  28,38.94555556,-77.1030556,2070010.0,GW
385646077065101,Dalecarlia Dredge Spoil Pond,38.9461111,-77.1141667,2070010.0,FA-WU
385647076561101,PG Cc   5,38.9464999,-76.9360854,2070010.0,GW
385649076584201,WE Ba  11,38.94688889,-76.9784444,2070010.0,GW
385655077112201,"MET STATION AT CHURCHILL ROAD PARK AT MCLEAN, VA",38.9485472,-77.1895222,2070008.0,AT
385707077021801,WW Bc  11,38.951833,-77.038306,20700100102.0,GW
385707077110313,"DEAD RUN PUMPING STATION NR MC LEAN, VA",38.95205505,-77.1838689,2070008.0,AT
385713077061601,MO Ff  14,38.9537218,-77.104145,2070008.0,GW
385716077031201,"WEST SPRING, DC",38.95444444,-77.05277778,20700100102.0,ST
385718077030101,"MAINTENANCE YARD STREAM, WASHINGTON, DC",38.95583333,-77.05305556,20700100102.0,ST
385723076593401,PG Cc 31,38.95305556,-76.98527778,2070010.0,GW
385724077090901,MO Ff   5,38.9567772,-77.1522016,2070008.0,GW
385725077023801,"PICNIC 21, DC",38.95694444,-77.04388889,20700100102.0,ST
385730077023001,"MAINTENANCE POND, WASHINGTON, DC",38.95836529,-77.04134267,20700100102.0,LK
385733076540401,PG2014G001,38.95916667,-76.9011111,2070010.0,GW
385740077051301,MO Ff  13,38.96122169,-77.0866447,2070010.0,GW
385741077052601,MO Ff   4,38.96149946,-77.0902558,2070010.0,GW
385755077023001,"FAIRWAY18, DC",38.96527778,-77.04166667,20700100102.0,ST
385759077024301,"GOLF COURSE I, DC",38.96666667,-77.04638889,20700100102.0,ST
385813077030801,BINGHAM/OREGON,38.97027778,-77.0525,20700100102.0,ST
385817077021301,"WHITTIER, DC",38.97166667,-77.03694444,20700100102.0,ST
385819077045801,MO Ff  24,38.9718611,-77.08288889,2070008.0,GW
385824077001901,MO Fg  10,38.9734438,-77.0049764,2070010.0,SP
385825077001701,PG Cb   1,38.97372157,-77.0044208,2070010.0,SP
385825077112201,MO Fe   7,38.97372135,-77.1891466,2070008.0,GW
